Business Name,Owner Name,Phone Number,Location,Extra Info
Arizona Roofers,Anthony Bonomo,(480) 588-4668,Phoenix AZ,CEO
Rhino Roofers,David Villarreal,(210) 942-8602,San Antonio TX,Founder
Dolan Roofing,Johnny Dolan,(210) 971-8758,San Antonio TX,Owner
Invision Roofing,Matt Wooldridge,(210) 838-6062,San Antonio TX,Founder
Wimberley Roofing,Mott Family,(512) 877-0015,San Antonio TX,
Texas Family Roofing,Paul Perez,(210) 791-7466,San Antonio TX,Owner
Valiant Roofing,Jack Divine,360-997-0451,Vancouver WA,Owner
Smart Roof Inc,Josh Jerge,(703) 291-1173,East Coast USA,CEO
Roof Services of New York,Ralph Plotke,(631) 666-3232,New York NY,President
Roofing King USA,Mike C.,(315) 269-3519,New York NY,Owner
AJ Reyes Roofing,AJ Reyes,(424) 264-8603,Los Angeles CA,Owner
West Coast Roofing,Scott Lippman,(323) 261-7193,Los Angeles CA,Owner
Specialist Roofing,Andre Afsharian,(626) 869-7663,Los Angeles CA,Owner
Midwest Roofing,Paul Snapkowski,(815) 238-5334,Chicago IL,Owner
Revived Exteriors,Robert Cipella,(773) 694-4212,Chicago IL,Owner
T Williams Roofing,Tom Williams,(832) 835-1637,Houston TX,Owner (Moved from Chicago)
City Roofing Company,Family Owned,(817) 738-1756,Fort Worth TX,Since 1964Penfolds Roofing,Shaun Mayhew,604-254-4663,Vancouver BC,President
Macbeth Roofing,Darren Smaill,(604) 593-1044,Vancouver BC,President
GVRD Roofing,Owner,+1-604-445-4873,Vancouver BC,
Crown Roofing,Owner,604-370-6288,Vancouver BC,
A. Clark Roofing,Douglas A. Clark,(780) 465-7571,Edmonton AB,President
Sargeant's Roofing,Adam Sand,(780) 863-4653,Edmonton AB,Owner
Advanced Roofing Systems,Owner,(780) 463-6320,Edmonton AB,
Jayson Global Roofing,Owner,(780) 438-0331,Edmonton AB,
Wheatland Roofing,Owner,(306) 924-4277,Regina SK,
Cactus Roofing,Owner,306-477-5526,Saskatoon SK,
Transcona Roofing,Richard Marcetti,204-233-3716,Winnipeg MB,President
Above All Roofing,Owner,204-999-4674,Winnipeg MB,
Dr. Roof Winnipeg,Owner,204-453-5553,Winnipeg MB,
Sanderson Roofing,Donald Mann,(613) 800-5865,Ottawa ON,Partner/Owner
Vanity Roofing,Kevin Dao,613-851-4448,Ottawa ON,Main Contact
Roofmaster,Owner,613-521-0088,Ottawa ON,
D'Angelo & Sons Roofing,Aaron D'Angelo,905-387-3000,Hamilton ON,President
Desi's Roofing,Owner,905-574-4178,Hamilton ON,
Herb Lodde Roofing,Owner,905-332-8200,Hamilton ON,
Forest City Roofing,Owner,519-659-6937,London ON,
Davidoff Roofing,David Off,519-641-7663,London ON,Owner
Murray Shaw Roofing,Owner,519-473-7500,London ON,
Toitures Quebec,Owner,418-864-8873,Quebec City QC,
Duffy's Roofing,Owner,N/A,Halifax NS,
Bluenose Roofing,Owner,902-401-4809,Halifax NS,
547 Renovations,Owner,204-227-6228,Winnipeg MB,
Wilderness Roofing,Owner,306-384-7663,Saskatoon SK,
Duncan Roofing,Owner,306-757-7663,Regina SK,
Jorgensen Roofing,Owner,613-726-0683,Ottawa ON,
Toitures P.E.,Owner,418-561-1505,Quebec City QC,
